CELLNAME,INSTCOUNT,LOWERLEFT_X,LOWERLEFT_Y,WIDTH,HEIGHT,DEVCOUNT,FUBLIST,INSTCOUNT SUMMARY
gsr_local_fid_2x,1303,0,-7830,3.712,1.566,0,aglad:bpbimodalm:bpitargetm:bptargettrgm:cbadam:cbadpm:cbakpm:cbauxm:cbbenm:cbblpm:cbcltstd:cbringturnd:dccstated:dcibtagd:dciparrayd:dcl1bankd:dclrud:dcm:dsbdata23d:dsbdata45d:dsbimmdatad:dsbimmexpd:dsbofsetm:dsbqslow:exehfphrpt6d:fpmgensd:fpmwtreefd:fpshufhd:fpshufld:idespdatam:idqimmd:idqued:iemulhd:iescratchd:ieshiftmxd:ieslowuopd:mccmuxd:mcrrdd:mcwdbd:mihimxfd:mipresrfd:mirsmxid:mlprefd:mlsqbd:mlstlruarym:moslaryd:mosscdecd:mpbgfall2md:mpbgfm2alld:mpcbocohtrkd:mpiorddbd:mpiowrdbd:mpmcarbd:mpvtdefaztlbd:mspatchm:msram:pmsnddatam:pmsndlrum:pmsndtagm:ptpram:ptpromprog:robttd:roptrd:rostalld:rseumtxc:rsfpprflc:rsimmc:rsintprfc:rssched:rsuopc:sabhub0dl:sdcm:siaesd:sishiftd:sishufhd,datap->(483) regf->(797) repeater->(3) rom->(20)
gsr_nntap,263,0,-7830,0.232,1.566,0,bptargettrgm:iealumxc:mpiorddbd:ptpromprog:sishufhd,datap->(81) regf->(182)
gsrags_pchandkeeper_d2,323,0,-7830,0.812,1.566,7,agsrfd,regf->(323)
gsrana_2to1mux,1,-8120,-7830,6.496,1.566,26,thermalpower,datap->(1)
gsrana_invpd3nd3,1,19720,-7830,0.696,1.566,2,thermalpower,datap->(1)
gsrana_thmp__fntap,2,0,0,0.348,1.566,0,thermalpower,datap->(2)
gsrana_thmp__tap,2,0,0,0.348,1.566,0,thermalpower,datap->(2)
gsrana_thmp_fntap,6,0,0,0.348,1.566,0,thermalpower,datap->(6)
gsrana_thmp_x8yxxfil6,4,0,-7830,0.58,1.566,4,thermalpower,datap->(4)
gsrana_thmp_yxxfsn00ln0c0,6,0,-7830,1.972,1.566,22,thermalpower,datap->(6)
gsrana_thmp_yxxinn00ln0b0,12,0,-7830,0.232,1.566,2,thermalpower,datap->(12)
gsrana_thmp_yxxinn00ln0c0,8,0,-7830,0.232,1.566,2,thermalpower,datap->(8)
gsrana_thmp_yxxinn00ln0d0,2,0,-7830,0.232,1.566,2,thermalpower,datap->(2)
gsrana_thmp_yxxnan02ln0b0,2,0,-7830,0.348,1.566,4,thermalpower,datap->(2)
gsrana_thmp_yxxnan02ln0c0,2,0,-7830,0.348,1.566,4,thermalpower,datap->(2)
gsrana_thmp_yxxnon02ln0b0,12,0,-7830,0.348,1.566,4,thermalpower,datap->(12)
gsranaa2dpmosstg,7,0,0,1.624,1.566,20,thermalpower,datap->(7)
gsranayxxcbp18ln0e0,2,0,-7830,0.58,1.566,6,thermalpower,datap->(2)
gsrcmolrclkdrvtopglb_decap,1,0,0,0.696,1.566,8,molraryd,regf->(1)
gsrcmolrdpch,2048,0,-7830,0.928,1.566,7,mollaryd:molraryd,regf->(2048)
gsrcmolscdnon43nn0d5,32,0,-7830,1.972,1.566,21,molscdecd,datap->(32)
gsrcmolscdnor2f0asym,8,0,0,1.74,1.566,19,molscdecd,datap->(8)
gsrcmolscdyg4mdb20nn0g5,24,0,0,1.508,1.566,16,molscdecd,datap->(24)
gsrcmolsced4mdb40nn0f5_invsel,12,0,0,1.508,1.566,16,molscdecd,datap->(12)
gsrcmosglbpch,768,0,-7830,1.508,1.566,11,moslaryd:moslnaryd:mosraryd,regf->(768)
gsrcmoslrdpd,13824,0,0,0.232,1.566,2,moslaryd:moslnaryd:mosraryd,regf->(13824)
gsrdcbmpb04nnhf5,112,0,-7830,1.856,1.566,16,dcrotated,datap->(112)
gsrdcrotinn40nnpf5,64,0,-7830,1.16,1.566,12,dcrotated,datap->(64)
gsrdcrotinn40nnpg3,192,0,-7830,1.856,1.566,18,dcrotated,datap->(192)
gsrdcrotinn40nnpg5,192,0,-7830,2.088,1.566,20,dcrotated,datap->(192)
gsrdcrotmpn04nn1i0,128,0,-7830,2.088,1.566,25,dcrotated,datap->(128)
gsrdcrotmpn05nn1g0,64,0,-7830,1.508,1.566,17,dcrotated,datap->(64)
gsrdcrotmpn05nn1h0,198,0,-7830,2.204,1.566,25,dcrotated,datap->(198)
gsrdcrotmpn05nn1i0,128,0,-7830,2.552,1.566,33,dcrotated,datap->(128)
gsrifchunkinv,128,0,-7830,1.856,1.566,18,ifdatachunkd,datap->(128)
gsrifdatawaymuxinv,64,0,-7830,0.696,1.566,8,ifdatabankhd:ifdatabankld,regf->(64)
gsrifdatawaymuxnand2,128,0,-7830,0.464,1.566,4,ifdatabankhd:ifdatabankld,regf->(128)
gsrifdatawaymuxnor2,704,0,-7830,0.464,1.566,4,ifdatabankhd:ifdatabankld,regf->(704)
gsrifdatawaymuxnor21,64,0,-7830,0.464,1.566,4,ifdatabankhd:ifdatabankld,regf->(64)
gsrifdatawaymuxnor22,64,0,-7830,0.696,1.566,6,ifdatabankhd:ifdatabankld,regf->(64)
gsrifdatawaymuxnor3,192,0,-7830,0.58,1.566,6,ifdatabankhd:ifdatabankld,regf->(192)
gsrifdlatpardinv,132,0,-7830,1.624,1.566,22,ifdatalatpard,datap->(132)
gsrifdyg7gpn02kn1c1,66,0,-7830,0.696,1.566,6,ifdatabankhd:ifdatabankld,regf->(66)
gsrifdyg7inr10sn1n1,1024,0,-7830,0.464,1.566,8,ifdatabankhd:ifdatabankld,regf->(1024)
gsrifdyg7nag23nn0d7,2048,0,-7830,0.464,1.566,7,ifdatabankhd:ifdatabankld,regf->(2048)
gsrifdyg7nog42nn0c7,2048,0,-7830,0.464,1.566,7,ifdatabankhd:ifdatabankld,regf->(2048)
gsrifldnandtri,4,-2320,-7830,2.204,1.566,21,ifldchainc,datap->(4)
gsriftnag23nn0d5,512,0,-7830,0.464,1.566,7,iftlbd,regf->(512)
gsriftsmcompd2prch,40,0,-7830,1.392,1.566,10,iftlbd,regf->(40)
gsrifttaglgbitxorattr,8,0,-7830,0.696,1.566,2,iftlbd,regf->(8)
gsrldmtxyg7rdm02ks0h1,256,0,-7830,2.552,1.566,21,rsldmtxc,regf->(256)
gsrlldctl_one,2,0,0,1.508,1.566,7,lldatbnk,gigacell->(2)
gsrlldrpt600ufo5nom,2,0,0,4.64,1.566,70,lldglbbnkrpt,datap->(2)
gsrlldrpt600ufo7,497,4640,0,3.132,1.566,50,lldatifcrpta:lldatifcrptb:lldatifcrptc:lldglbbnkrpt,datap->(497)
gsrlldrpt600ux2fo8,25,-4640,-7830,5.452,1.566,88,lldglbbnk,datap->(25)
gsrlldrptinv600ufo5nom,4,0,-7830,3.48,1.566,54,lldglbbnk:lldglbbnkrpt,datap->(4)
gsrlldtmrpcna2,8,0,-7830,4.06,1.566,52,lldatbnk,gigacell->(8)
gsrlltctl_one,2,0,0,1.508,1.566,7,lltagbnk,gigacell->(2)
gsrllteccxnorenx_complex,7,0,-7830,2.9,1.566,40,lltagbnk,gigacell->(7)
gsrlltrpt400ufo5,41,0,-7830,3.016,1.566,48,lltagrpt,repeater->(41)
gsrlltrpt400ufo5nom,39,0,-7830,3.016,1.566,48,lltagifc:lltagrpt,datap->(8) repeater->(31)
gsrlltrpt400ufo6,84,0,0,2.9,1.566,44,lldatifc:lltagifc,datap->(84)
gsrlltrpt400ufo7,326,0,-7830,2.204,1.566,34,lldatifc:lldatifcm:lldglbifcrpt:lltagifc:lltagrpt,datap->(264) repeater->(62)
gsrlltrpt400ux2fo5,41,0,-7830,5.684,1.566,94,lltagifc,datap->(41)
gsrlltrpt400ux2fo7,75,0,-7830,4.06,1.566,66,lldglbifc:lltagifc,datap->(75)
gsrlltrptinv400ufo5,72,0,-7830,2.32,1.566,32,lltagifc:lltagrpt,datap->(24) repeater->(48)
gsrlltrptinv400ufo6,141,0,0,2.088,1.566,28,lldatbnkrpta:lldatbnkrptb:lltagbnk,datap->(136) gigacell->(5)
gsrlltrptinv400ufo7,187,0,-7830,1.856,1.566,24,lldatbnk:lldatbnkrpta:lltagifc,datap->(119) gigacell->(68)
gsrlltrptinv400ux2fo5,22,0,-7830,4.408,1.566,62,lltagifc,datap->(22)
gsrmsnag43nn0j1,64,0,-7830,2.088,1.566,32,msuromuniq0:msuromuniq1:msuromuniq2:msuromuniq3,rom->(64)
gsrmsnag43nn0l1,470,0,-7830,2.088,1.566,32,msptrrom:msuromptrhi01:msuromptrhi23:msuromptrlo01:msuromptrlo23:msuromuniq0:msuromuniq1:msuromuniq2:msuromuniq3,rom->(470)
gsrmsptrmuxselbitst,1240,0,-7830,0.696,1.566,7,msptrrom:msuromptrhi01:msuromptrhi23:msuromptrlo01:msuromptrlo23,rom->(1240)
gsrmsptrwldrvst,9920,1160,-7830,0.696,1.566,12,msptrrom:msuromptrhi01:msuromptrhi23:msuromptrlo01:msuromptrlo23,rom->(9920)
gsrmsuniq0wldrv,7168,0,-7830,0.58,1.566,8,msuromuniq0:msuromuniq1:msuromuniq2:msuromuniq3,rom->(7168)
gsrmsunq02to4bit,1196,0,0,0.696,1.566,8,msptrrom:msuromptrhi01:msuromptrhi23:msuromptrlo01:msuromptrlo23:msuromuniq0:msuromuniq1:msuromuniq2:msuromuniq3,rom->(1196)
gsrmsunq03to8bit,1880,0,0,1.856,1.566,22,msptrrom:msuromptrhi01:msuromptrhi23:msuromptrlo01:msuromptrlo23:msuromuniq0:msuromuniq1:msuromuniq2:msuromuniq3,rom->(1880)
