YG CELL NAME,YG NOMINAL CELL NAME,YG WIDTH,YG HEIGHT,YG DEVCOUNT
yg0bfr10nn1h7,yg0bfr10nn1h7,3.828,1.566,52
yg0bfr10nn1i0,yg0bfr10nn1i0,4.408,1.566,63
yg0bfr10nn1i3,yg0bfr10nn1i3,4.872,1.566,66
yg0bfr10nn1i5,yg0bfr10nn1i5,6.032,1.566,82
yg0bfr10nn1i7,yg0bfr10nn1i7,6.38,1.566,88
yg0bfr10nn1j0,yg0bfr10nn1j0,7.424,1.566,104
yg0bfr10nn1j3,yg0bfr10nn1j3,8.236,1.566,114
yg0bfr10nn1j5,yg0bfr10nn1j5,9.164,1.566,126
yg0bfz00ln1d0,,0.58,1.566,4
yg0bfz00ln1g0,,1.044,1.566,14
yg0cam01ld1f0,yg0cam01nd1f0,2.088,3.132,39
yg0cam01ld1f3,yg0cam01nd1f3,2.204,3.132,44
yg0cam01ld1f5,yg0cam01nd1f5,2.32,3.132,48
yg0cam01ld1f7,yg0cam01nd1f7,2.436,3.132,52
yg0cam01ld1g0,yg0cam01nd1g0,2.784,3.132,59
yg0cam01ld1g3,yg0cam01nd1g3,3.248,3.132,67
yg0cam01ld1g5,yg0cam01nd1g5,3.48,3.132,79
yg0cam01ln1a0,yg0cam01nn1a0,0.696,1.566,6
yg0cam01ln1a3,yg0cam01nn1a3,0.696,1.566,6
yg0cam01ln1a5,yg0cam01nn1a5,0.696,1.566,6
yg0cam01ln1a7,yg0cam01nn1a7,0.696,1.566,6
yg0cam01ln1b0,yg0cam01nn1b0,1.044,1.566,10
yg0cam01ln1b3,yg0cam01nn1b3,1.044,1.566,10
yg0cam01ln1b5,yg0cam01nn1b5,1.044,1.566,10
yg0cam01ln1b7,yg0cam01nn1b7,1.044,1.566,10
yg0cam01ln1c0,yg0cam01nn1c0,1.044,1.566,12
yg0cam01ln1c3,yg0cam01nn1c3,1.16,1.566,13
yg0cam01ln1c5,yg0cam01nn1c5,1.16,1.566,13
yg0cam01ln1c7,yg0cam01nn1c7,1.16,1.566,16
yg0cam01ln1d0,yg0cam01nn1d0,1.276,1.566,16
yg0cam01ln1d3,yg0cam01nn1d3,1.508,1.566,19
yg0cam01ln1d5,yg0cam01nn1d5,1.508,1.566,19
yg0cam01ln1d7,yg0cam01nn1d7,1.856,1.566,22
yg0cam01ln1e0,yg0cam01nn1e0,1.856,1.566,24
yg0cam01ln1e3,yg0cam01nn1e3,2.204,1.566,27
yg0cam01ln1e5,yg0cam01nn1e5,2.436,1.566,31
yg0cam01ln1e7,yg0cam01nn1e7,2.552,1.566,33
yg0cam01nd1f0,yg0cam01nd1f0,2.088,3.132,39
yg0cam01nd1f3,yg0cam01nd1f3,2.204,3.132,44
yg0cam01nd1f5,yg0cam01nd1f5,2.32,3.132,48
yg0cam01nd1f7,yg0cam01nd1f7,2.436,3.132,52
yg0cam01nd1g0,yg0cam01nd1g0,2.784,3.132,59
yg0cam01nd1g3,yg0cam01nd1g3,3.248,3.132,67
