AI CELL NAME,ai0cld WIDTH,ai0cld HEIGHT,ai0study WIDTH,ai0study HEIGHT,ai3study WIDTH,ai3study HEIGHT,ai7study WIDTH,ai7study HEIGHT
ai0mbn22nnhd0,,,0.99,1.14,,,,
ai0mbn22nnhd7,,,1.26,1.14,,,,
ai0mbn22nnhe0,,,1.26,1.14,,,,
ai0mbn22nnhe5,,,1.44,1.14,,,,
ai0mbn22nnhf0,,,1.8,1.14,,,,
ai0mbn22nnhg0,,,2.25,1.14,,,,
ai0mdn02nnhc0,,,0.9,1.14,,,,
ai0mdn03lnhb0,,,1.44,1.14,,,,
ai0mdn03lnhb3,,,1.44,1.14,,,,
ai0mdn03lnhd5,,,1.71,1.14,,,,
ai0mdn03lnhf0,,,2.25,1.14,,,,
ai0mdn03nnhb3,,,1.44,1.14,,,,
ai0mdn03nnhd0,,,1.71,1.14,,,,
ai0mdn03nnhe0,,,2.25,1.14,,,,
ai0mdn03nnhe5,,,2.25,1.14,,,,
ai0mdn03nnhf0,,,2.25,1.14,,,,
ai0mdn03nnhg0,,,3.06,1.14,,,,
ai0mdn03nnhg3,,,3.06,1.14,,,,
ai0mdn04lnhd0,,,2.16,1.14,,,,
ai0mdn04lnhe0,,,2.7,1.14,,,,
ai0mdn04nnhc5,,,2.16,1.14,,,,
ai0mdn04nnhd0,,,2.16,1.14,,,,
ai0mdn04nnhd5,,,2.16,1.14,,,,
ai0mdn04nnhe0,,,2.7,1.14,,,,
ai0mdn04nnhe5,,,2.7,1.14,,,,
ai0mdn04nnhf0,,,2.7,1.14,,,,
ai0mdn04nnhf5,,,3.06,1.14,,,,
ai0mdn04nnhg0,,,3.6,1.14,,,,
ai0mdn04nnhg5,,,3.6,1.14,,,,
ai0mdn04nnhh0,,,4.14,1.14,,,,
ai0mdn05nnhb0,,,2.34,1.14,,,,
ai0mdn05nnhc0,,,2.34,1.14,,,,
ai0mdn05nnhd0,,,2.79,1.14,,,,
ai0mdn05nnhe0,,,3.33,1.14,,,,
ai0mdn05nnhf0,,,3.33,1.14,,,,
ai0mdn05nnhg0,,,4.59,1.14,,,,
ai0mdn05nnhh0,,,5.13,1.14,,,,
ai0mdn06nnhd0,,,3.24,1.14,,,,
ai0mdn06nnhe0,,,3.96,1.14,,,,
ai0mdn22ln0b0,,,0.81,1.14,,,,
ai0mdn22ln0b3,,,0.81,1.14,,,,
ai0mdn22ln0d7,,,0.9,1.14,,,,
ai0mdn22nn0a0,,,0.81,1.14,,,,
ai0mdn22nn0b0,,,0.81,1.14,,,,
ai0mdn22nn0b3,,,0.81,1.14,,,,
ai0mdn22nn0d0,,,0.9,1.14,,,,
ai0mdn22nn0d7,,,0.9,1.14,,,,
ai0mdn22nn0e0,,,1.26,1.14,,,,
ai0mdn22nn0e5,,,1.17,1.14,,,,
ai0mdn22nn0e7,,,1.26,1.14,,,,
ai0mdn22nn0f0,,,1.44,1.14,,,,
ai0mdn22nn0f3,,,1.44,1.14,,,,
ai0mdn22nn0f5,,,1.44,1.14,,,,
ai0mdn22nn0f7,,,1.62,1.14,,,,
ai0mdn22nn0g0,,,1.71,1.14,,,,
ai0mdn22nn0g3,,,1.62,1.14,,,,
ai0mdn22nn0g7,,,2.16,1.14,,,,
ai0mpn02nn0f0,,,0.72,1.14,,,,
ai0mpn22ln0d5,,,0.63,1.14,,,,
ai0mpn22nn0e0,,,0.63,1.14,,,,
ai0mtn22ln0d0,,,0.9,1.14,,,,
